"i","User ID","Ensembl Gene ID","Symbol","Gene Type","Species","Chr","Position (Mbp)"
5274,"ENSG00000271404","ENSG00000271404","MZT1P2","processed_pseudogene","Human","7",139.228221
5275,"ENSG00000253183","ENSG00000253183","","processed_pseudogene","Human","7",139.502453
5276,"ENSG00000254270","ENSG00000254270","ERHP1","processed_pseudogene","Human","7",139.53424
5277,"ENSG00000270512","ENSG00000270512","","processed_pseudogene","Human","7",140.282465
5278,"ENSG00000241661","ENSG00000241661","PPP1R2P6","processed_pseudogene","Human","7",140.292752
5279,"ENSG00000103200","ENSG00000103200","","processed_pseudogene","Human","7",140.435316
5280,"ENSG00000271611","ENSG00000271611","","processed_pseudogene","Human","7",140.934867
5281,"ENSG00000242703","ENSG00000242703","CCT4P1","processed_pseudogene","Human","7",140.997952
5282,"ENSG00000261778","ENSG00000261778","","processed_pseudogene","Human","7",141.173043
5283,"ENSG00000261624","ENSG00000261624","NDUFB10P2","processed_pseudogene","Human","7",141.351977
5284,"ENSG00000270923","ENSG00000270923","TAS2R6P","processed_pseudogene","Human","7",141.787815
5285,"ENSG00000241926","ENSG00000241926","MTCO1P55","processed_pseudogene","Human","7",141.801315
5286,"ENSG00000224354","ENSG00000224354","MTND2P5","processed_pseudogene","Human","7",141.802482
5287,"ENSG00000239648","ENSG00000239648","MTND1P3","processed_pseudogene","Human","7",141.803701
5288,"ENSG00000240677","ENSG00000240677","MYL6P4","processed_pseudogene","Human","7",141.811805
5289,"ENSG00000244273","ENSG00000244273","PGBD4P1","processed_pseudogene","Human","7",142.722358
5290,"ENSG00000243661","ENSG00000243661","WBP1LP1","processed_pseudogene","Human","7",142.778642
5291,"ENSG00000231531","ENSG00000231531","HINT1P1","processed_pseudogene","Human","7",143.312684
5292,"ENSG00000229977","ENSG00000229977","","processed_pseudogene","Human","7",143.532749
5293,"ENSG00000229877","ENSG00000229877","PAICSP5","processed_pseudogene","Human","7",143.545186
5294,"ENSG00000230556","ENSG00000230556","","processed_pseudogene","Human","7",143.578907
5295,"ENSG00000241136","ENSG00000241136","PAICSP6","processed_pseudogene","Human","7",143.782667
5296,"ENSG00000232145","ENSG00000232145","","processed_pseudogene","Human","7",143.796295
5297,"ENSG00000270729","ENSG00000270729","","processed_pseudogene","Human","7",143.979121
5298,"ENSG00000242280","ENSG00000242280","SLC16A1P1","processed_pseudogene","Human","7",143.985142
5299,"ENSG00000242978","ENSG00000242978","PPIAP83","processed_pseudogene","Human","7",144.434826
5300,"ENSG00000243746","ENSG00000243746","EEF1A1P10","processed_pseudogene","Human","7",144.647186
5301,"ENSG00000236343","ENSG00000236343","EI24P4","processed_pseudogene","Human","7",145.005058
5302,"ENSG00000214035","ENSG00000214035","","processed_pseudogene","Human","7",145.009961
5303,"ENSG00000225918","ENSG00000225918","RPL7P59","processed_pseudogene","Human","7",145.039999
5304,"ENSG00000226592","ENSG00000226592","","processed_pseudogene","Human","7",145.269514
5305,"ENSG00000231839","ENSG00000231839","DPY19L4P2","processed_pseudogene","Human","7",145.583197
5306,"ENSG00000232391","ENSG00000232391","RANP2","processed_pseudogene","Human","7",147.167344
5307,"ENSG00000270634","ENSG00000270634","","processed_pseudogene","Human","7",147.704294
5308,"ENSG00000274133","ENSG00000274133","","processed_pseudogene","Human","7",148.445786
5309,"ENSG00000213210","ENSG00000213210","","processed_pseudogene","Human","7",148.580401
5310,"ENSG00000213209","ENSG00000213209","","processed_pseudogene","Human","7",148.637179
5311,"ENSG00000270200","ENSG00000270200","","processed_pseudogene","Human","7",148.649547
5312,"ENSG00000234565","ENSG00000234565","COX6B1P1","processed_pseudogene","Human","7",149.053961
5313,"ENSG00000239719","ENSG00000239719","","processed_pseudogene","Human","7",149.191043
5314,"ENSG00000231397","ENSG00000231397","","processed_pseudogene","Human","7",149.321865
5315,"ENSG00000215311","ENSG00000215311","NPM1P12","processed_pseudogene","Human","7",149.334024
5316,"ENSG00000271582","ENSG00000271582","","processed_pseudogene","Human","7",150.484061
5317,"ENSG00000213205","ENSG00000213205","STRADBP1","processed_pseudogene","Human","7",150.512559
5318,"ENSG00000243853","ENSG00000243853","ALDH7A1P3","processed_pseudogene","Human","7",150.541754
5319,"ENSG00000271568","ENSG00000271568","","processed_pseudogene","Human","7",150.603561
5320,"ENSG00000232361","ENSG00000232361","","processed_pseudogene","Human","7",150.614061
5321,"ENSG00000270990","ENSG00000270990","","processed_pseudogene","Human","7",150.676833
5322,"ENSG00000177590","ENSG00000177590","GIMAP3P","processed_pseudogene","Human","7",150.746893
5323,"ENSG00000241134","ENSG00000241134","BET1P1","processed_pseudogene","Human","7",150.749736
5324,"ENSG00000240132","ENSG00000240132","ETF1P2","processed_pseudogene","Human","7",151.501878
5325,"ENSG00000213188","ENSG00000213188","YBX1P4","processed_pseudogene","Human","7",152.128879
5326,"ENSG00000270405","ENSG00000270405","","processed_pseudogene","Human","7",152.366763
5327,"ENSG00000204894","ENSG00000204894","","processed_pseudogene","Human","7",152.367171
5328,"ENSG00000241007","ENSG00000241007","SEPT7P6","processed_pseudogene","Human","7",152.367519
5329,"ENSG00000020219","ENSG00000020219","CCT8L1P","processed_pseudogene","Human","7",152.445477
5330,"ENSG00000225416","ENSG00000225416","","processed_pseudogene","Human","7",152.602213
5331,"ENSG00000214003","ENSG00000214003","ATP5PBP3","processed_pseudogene","Human","7",152.749079
5332,"ENSG00000224104","ENSG00000224104","","processed_pseudogene","Human","7",153.144313
5333,"ENSG00000233489","ENSG00000233489","PAXBP1P1","processed_pseudogene","Human","7",153.449429
5334,"ENSG00000226509","ENSG00000226509","","processed_pseudogene","Human","7",153.968665
5335,"ENSG00000270584","ENSG00000270584","","processed_pseudogene","Human","7",156.263547
5336,"ENSG00000234450","ENSG00000234450","","processed_pseudogene","Human","7",156.633355
5337,"ENSG00000229365","ENSG00000229365","","processed_pseudogene","Human","7",157.087955
5338,"ENSG00000225224","ENSG00000225224","RPS27AP12","processed_pseudogene","Human","7",157.192368
5339,"ENSG00000236018","ENSG00000236018","","processed_pseudogene","Human","7",157.1976
5340,"ENSG00000224629","ENSG00000224629","","processed_pseudogene","Human","7",157.263022
5341,"ENSG00000224324","ENSG00000224324","THAP5P1","processed_pseudogene","Human","7",158.623188
5342,"ENSG00000228030","ENSG00000228030","","processed_pseudogene","Human","7",158.71973
5343,"ENSG00000253620","ENSG00000253620","","processed_pseudogene","Human","8",0.064091
5344,"ENSG00000254193","ENSG00000254193","","processed_pseudogene","Human","8",0.150584
5345,"ENSG00000253612","ENSG00000253612","WBP1LP3","processed_pseudogene","Human","8",0.155274
5346,"ENSG00000254104","ENSG00000254104","","processed_pseudogene","Human","8",0.264315
5347,"ENSG00000254265","ENSG00000254265","","processed_pseudogene","Human","8",1.730206
5348,"ENSG00000254244","ENSG00000254244","PAICSP4","processed_pseudogene","Human","8",4.787332
5349,"ENSG00000253262","ENSG00000253262","","processed_pseudogene","Human","8",5.072645
5350,"ENSG00000271248","ENSG00000271248","","processed_pseudogene","Human","8",5.455218
5351,"ENSG00000240486","ENSG00000240486","RPL23AP54","processed_pseudogene","Human","8",5.476548
5352,"ENSG00000253571","ENSG00000253571","","processed_pseudogene","Human","8",5.848697
5353,"ENSG00000253550","ENSG00000253550","","processed_pseudogene","Human","8",6.473845
5354,"ENSG00000250752","ENSG00000250752","RPL23AP96","processed_pseudogene","Human","8",6.898878
5355,"ENSG00000255273","ENSG00000255273","","processed_pseudogene","Human","8",7.082971
5356,"ENSG00000234120","ENSG00000234120","","processed_pseudogene","Human","8",7.112314
5357,"ENSG00000228744","ENSG00000228744","RPS3AP30","processed_pseudogene","Human","8",7.122857
5358,"ENSG00000254683","ENSG00000254683","SNRPCP6","processed_pseudogene","Human","8",7.143632
5359,"ENSG00000230106","ENSG00000230106","SNRPCP15","processed_pseudogene","Human","8",7.17055
5360,"ENSG00000214268","ENSG00000214268","RPS3AP33","processed_pseudogene","Human","8",7.190901
5361,"ENSG00000231930","ENSG00000231930","","processed_pseudogene","Human","8",7.200756
5362,"ENSG00000255025","ENSG00000255025","","processed_pseudogene","Human","8",7.238286
5363,"ENSG00000255128","ENSG00000255128","HSPD1P3","processed_pseudogene","Human","8",7.418991
5364,"ENSG00000254796","ENSG00000254796","","processed_pseudogene","Human","8",7.601004
5365,"ENSG00000254889","ENSG00000254889","","processed_pseudogene","Human","8",7.69683
5366,"ENSG00000254543","ENSG00000254543","HSPD1P2","processed_pseudogene","Human","8",7.891003
5367,"ENSG00000253881","ENSG00000253881","","processed_pseudogene","Human","8",8.048919
5368,"ENSG00000255459","ENSG00000255459","","processed_pseudogene","Human","8",8.086022
5369,"ENSG00000244427","ENSG00000244427","","processed_pseudogene","Human","8",8.095946
5370,"ENSG00000254311","ENSG00000254311","SNRPCP17","processed_pseudogene","Human","8",8.116745
5371,"ENSG00000270966","ENSG00000270966","","processed_pseudogene","Human","8",8.933721
5372,"ENSG00000254091","ENSG00000254091","","processed_pseudogene","Human","8",9.233013
5373,"ENSG00000249050","ENSG00000249050","","processed_pseudogene","Human","8",9.453698
5374,"ENSG00000249848","ENSG00000249848","","processed_pseudogene","Human","8",10.336782
5375,"ENSG00000231965","ENSG00000231965","","processed_pseudogene","Human","8",11.175051
5376,"ENSG00000239315","ENSG00000239315","RPL19P13","processed_pseudogene","Human","8",11.25602
5377,"ENSG00000227203","ENSG00000227203","SUB1P1","processed_pseudogene","Human","8",11.790005
5378,"ENSG00000255174","ENSG00000255174","","processed_pseudogene","Human","8",11.999087
5379,"ENSG00000255016","ENSG00000255016","","processed_pseudogene","Human","8",12.025244
5380,"ENSG00000254700","ENSG00000254700","DEFB131C","processed_pseudogene","Human","8",12.043506
5381,"ENSG00000254923","ENSG00000254923","","processed_pseudogene","Human","8",12.128107
5382,"ENSG00000254866","ENSG00000254866","DEFB109D","processed_pseudogene","Human","8",12.150895
5383,"ENSG00000254527","ENSG00000254527","ENPP7P12","processed_pseudogene","Human","8",12.205759
5384,"ENSG00000254423","ENSG00000254423","","processed_pseudogene","Human","8",12.374366
5385,"ENSG00000255556","ENSG00000255556","","processed_pseudogene","Human","8",12.378679
5386,"ENSG00000242607","ENSG00000242607","RPS3AP34","processed_pseudogene","Human","8",12.57035
5387,"ENSG00000255122","ENSG00000255122","","processed_pseudogene","Human","8",12.580287
5388,"ENSG00000244289","ENSG00000244289","RPS3AP35","processed_pseudogene","Human","8",12.628476
5389,"ENSG00000255253","ENSG00000255253","","processed_pseudogene","Human","8",12.638428
5390,"ENSG00000254581","ENSG00000254581","","processed_pseudogene","Human","8",12.676035
5391,"ENSG00000253257","ENSG00000253257","MTND4P7","processed_pseudogene","Human","8",13.353401
5392,"ENSG00000254491","ENSG00000254491","","processed_pseudogene","Human","8",13.583889
5393,"ENSG00000255457","ENSG00000255457","","processed_pseudogene","Human","8",13.695574
5394,"ENSG00000255413","ENSG00000255413","","processed_pseudogene","Human","8",13.741809
5395,"ENSG00000254425","ENSG00000254425","","processed_pseudogene","Human","8",13.909231
5396,"ENSG00000255437","ENSG00000255437","","processed_pseudogene","Human","8",14.022687
5397,"ENSG00000214366","ENSG00000214366","EIF4EP5","processed_pseudogene","Human","8",14.309033
5398,"ENSG00000255365","ENSG00000255365","","processed_pseudogene","Human","8",14.690382
5399,"ENSG00000249368","ENSG00000249368","","processed_pseudogene","Human","8",15.325296
5400,"ENSG00000248423","ENSG00000248423","","processed_pseudogene","Human","8",15.688914
5401,"ENSG00000250483","ENSG00000250483","PPM1AP1","processed_pseudogene","Human","8",15.806149
5402,"ENSG00000226836","ENSG00000226836","","processed_pseudogene","Human","8",15.943127
5403,"ENSG00000253951","ENSG00000253951","","processed_pseudogene","Human","8",16.275681
5404,"ENSG00000253934","ENSG00000253934","MRPL49P2","processed_pseudogene","Human","8",16.374618
5405,"ENSG00000244113","ENSG00000244113","","processed_pseudogene","Human","8",17.150301
5406,"ENSG00000253384","ENSG00000253384","","processed_pseudogene","Human","8",18.088569
5407,"ENSG00000254015","ENSG00000254015","MTND4LP26","processed_pseudogene","Human","8",18.200924
5408,"ENSG00000244593","ENSG00000244593","","processed_pseudogene","Human","8",18.383274
5409,"ENSG00000271654","ENSG00000271654","","processed_pseudogene","Human","8",18.387108
5410,"ENSG00000244018","ENSG00000244018","RPL35P6","processed_pseudogene","Human","8",18.774547
5411,"ENSG00000270255","ENSG00000270255","","processed_pseudogene","Human","8",19.001627
5412,"ENSG00000242709","ENSG00000242709","RPL30P9","processed_pseudogene","Human","8",20.113343
5413,"ENSG00000253866","ENSG00000253866","TMEM97P2","processed_pseudogene","Human","8",20.934435
5414,"ENSG00000254272","ENSG00000254272","","processed_pseudogene","Human","8",22.492631
5415,"ENSG00000243265","ENSG00000243265","RPL23AP55","processed_pseudogene","Human","8",23.206918
5416,"ENSG00000253483","ENSG00000253483","","processed_pseudogene","Human","8",23.483016
5417,"ENSG00000253488","ENSG00000253488","SINHCAFP3","processed_pseudogene","Human","8",23.634876
5418,"ENSG00000271118","ENSG00000271118","","processed_pseudogene","Human","8",23.805933
5419,"ENSG00000253670","ENSG00000253670","","processed_pseudogene","Human","8",25.141394
5420,"ENSG00000249213","ENSG00000249213","","processed_pseudogene","Human","8",26.254883
5421,"ENSG00000251203","ENSG00000251203","","processed_pseudogene","Human","8",26.433029
5422,"ENSG00000253208","ENSG00000253208","","processed_pseudogene","Human","8",26.547669
5423,"ENSG00000240519","ENSG00000240519","","processed_pseudogene","Human","8",26.77179
5424,"ENSG00000253813","ENSG00000253813","COX6B1P4","processed_pseudogene","Human","8",26.835817
5425,"ENSG00000215288","ENSG00000215288","","processed_pseudogene","Human","8",27.011147
5426,"ENSG00000253899","ENSG00000253899","","processed_pseudogene","Human","8",27.063996
5427,"ENSG00000253560","ENSG00000253560","","processed_pseudogene","Human","8",27.697217
5428,"ENSG00000253176","ENSG00000253176","","processed_pseudogene","Human","8",27.838477
5429,"ENSG00000250516","ENSG00000250516","","processed_pseudogene","Human","8",28.225929
5430,"ENSG00000253907","ENSG00000253907","","processed_pseudogene","Human","8",28.23843
5431,"ENSG00000239198","ENSG00000239198","RPL5P22","processed_pseudogene","Human","8",28.299683
5432,"ENSG00000242958","ENSG00000242958","","processed_pseudogene","Human","8",28.810103
5433,"ENSG00000253770","ENSG00000253770","HMGB1P23","processed_pseudogene","Human","8",29.218905
5434,"ENSG00000243844","ENSG00000243844","RPL17P33","processed_pseudogene","Human","8",29.632091
5435,"ENSG00000254013","ENSG00000254013","MAP2K1P1","processed_pseudogene","Human","8",30.027713
5436,"ENSG00000241511","ENSG00000241511","RPS15AP24","processed_pseudogene","Human","8",30.117384
5437,"ENSG00000248159","ENSG00000248159","HSPA8P11","processed_pseudogene","Human","8",30.237382
5438,"ENSG00000254316","ENSG00000254316","","processed_pseudogene","Human","8",30.249502
5439,"ENSG00000253346","ENSG00000253346","","processed_pseudogene","Human","8",30.331961
5440,"ENSG00000254152","ENSG00000254152","PPIAP84","processed_pseudogene","Human","8",30.349866
5441,"ENSG00000271081","ENSG00000271081","","processed_pseudogene","Human","8",30.754236
5442,"ENSG00000253204","ENSG00000253204","","processed_pseudogene","Human","8",30.92106
5443,"ENSG00000253793","ENSG00000253793","","processed_pseudogene","Human","8",30.983459
5444,"ENSG00000253579","ENSG00000253579","SUMO2P16","processed_pseudogene","Human","8",31.131539
5445,"ENSG00000229211","ENSG00000229211","KCTD9P6","processed_pseudogene","Human","8",31.219894
5446,"ENSG00000254346","ENSG00000254346","MTND1P6","processed_pseudogene","Human","8",33.014081
5447,"ENSG00000254090","ENSG00000254090","MTND2P32","processed_pseudogene","Human","8",33.015261
5448,"ENSG00000253393","ENSG00000253393","RANP9","processed_pseudogene","Human","8",33.039523
5449,"ENSG00000253993","ENSG00000253993","","processed_pseudogene","Human","8",33.226848
5450,"ENSG00000254061","ENSG00000254061","","processed_pseudogene","Human","8",33.436268
5451,"ENSG00000253232","ENSG00000253232","","processed_pseudogene","Human","8",33.523154
5452,"ENSG00000253995","ENSG00000253995","RPL10P18","processed_pseudogene","Human","8",33.540185
5453,"ENSG00000253684","ENSG00000253684","BUD31P1","processed_pseudogene","Human","8",33.641581
5454,"ENSG00000253569","ENSG00000253569","VENTXP5","processed_pseudogene","Human","8",33.722305
5455,"ENSG00000240738","ENSG00000240738","","processed_pseudogene","Human","8",33.85948
5456,"ENSG00000188512","ENSG00000188512","","processed_pseudogene","Human","8",33.969567
5457,"ENSG00000215264","ENSG00000215264","RPL10AP3","processed_pseudogene","Human","8",34.322992
5458,"ENSG00000243181","ENSG00000243181","","processed_pseudogene","Human","8",34.874159
5459,"ENSG00000232024","ENSG00000232024","LSM12P1","processed_pseudogene","Human","8",35.525176
5460,"ENSG00000254309","ENSG00000254309","","processed_pseudogene","Human","8",36.121398
5461,"ENSG00000253610","ENSG00000253610","","processed_pseudogene","Human","8",36.308245
5462,"ENSG00000254320","ENSG00000254320","","processed_pseudogene","Human","8",36.321039
5463,"ENSG00000244708","ENSG00000244708","RPL23P10","processed_pseudogene","Human","8",36.58118
5464,"ENSG00000274489","ENSG00000274489","","processed_pseudogene","Human","8",36.795255
5465,"ENSG00000243503","ENSG00000243503","","processed_pseudogene","Human","8",36.987977
5466,"ENSG00000253650","ENSG00000253650","SMARCE1P4","processed_pseudogene","Human","8",37.09515
5467,"ENSG00000233170","ENSG00000233170","","processed_pseudogene","Human","8",37.747338
5468,"ENSG00000270865","ENSG00000270865","RPL12P48","processed_pseudogene","Human","8",37.98307
5469,"ENSG00000248585","ENSG00000248585","","processed_pseudogene","Human","8",38.201699
5470,"ENSG00000253570","ENSG00000253570","RNF5P1","processed_pseudogene","Human","8",38.600661
5471,"ENSG00000243095","ENSG00000243095","RPL3P10","processed_pseudogene","Human","8",39.157538
5472,"ENSG00000253160","ENSG00000253160","","processed_pseudogene","Human","8",39.309909
5473,"ENSG00000253332","ENSG00000253332","","processed_pseudogene","Human","8",39.860219
5474,"ENSG00000253233","ENSG00000253233","","processed_pseudogene","Human","8",39.867436
5475,"ENSG00000253790","ENSG00000253790","","processed_pseudogene","Human","8",39.997869
5476,"ENSG00000239281","ENSG00000239281","RPS29P2","processed_pseudogene","Human","8",41.271431
5477,"ENSG00000253943","ENSG00000253943","KRT18P37","processed_pseudogene","Human","8",41.51124
5478,"ENSG00000244235","ENSG00000244235","","processed_pseudogene","Human","8",42.101318
5479,"ENSG00000253135","ENSG00000253135","","processed_pseudogene","Human","8",42.128774
5480,"ENSG00000240395","ENSG00000240395","RPL5P23","processed_pseudogene","Human","8",42.341767
5481,"ENSG00000254131","ENSG00000254131","","processed_pseudogene","Human","8",42.4846
5482,"ENSG00000255361","ENSG00000255361","","processed_pseudogene","Human","8",42.725547
5483,"ENSG00000254198","ENSG00000254198","","processed_pseudogene","Human","8",43.125995
5484,"ENSG00000253611","ENSG00000253611","VN1R46P","processed_pseudogene","Human","8",43.21996
5485,"ENSG00000253884","ENSG00000253884","","processed_pseudogene","Human","8",43.246755
5486,"ENSG00000255166","ENSG00000255166","","processed_pseudogene","Human","8",43.247191
5487,"ENSG00000253312","ENSG00000253312","","processed_pseudogene","Human","8",43.251711
5488,"ENSG00000253606","ENSG00000253606","AFG3L2P1","processed_pseudogene","Human","8",43.270198
5489,"ENSG00000234713","ENSG00000234713","","processed_pseudogene","Human","8",43.27627
5490,"ENSG00000253707","ENSG00000253707","","processed_pseudogene","Human","8",43.284626
5491,"ENSG00000255497","ENSG00000255497","","processed_pseudogene","Human","8",43.313948
5492,"ENSG00000254342","ENSG00000254342","","processed_pseudogene","Human","8",43.372559
5493,"ENSG00000254069","ENSG00000254069","","processed_pseudogene","Human","8",43.493937
5494,"ENSG00000253319","ENSG00000253319","","processed_pseudogene","Human","8",43.51182
5495,"ENSG00000253418","ENSG00000253418","SNX18P27","processed_pseudogene","Human","8",43.513643
5496,"ENSG00000254145","ENSG00000254145","","processed_pseudogene","Human","8",43.539137
5497,"ENSG00000253845","ENSG00000253845","","processed_pseudogene","Human","8",43.672823
5498,"ENSG00000253198","ENSG00000253198","","processed_pseudogene","Human","8",43.67427
5499,"ENSG00000254070","ENSG00000254070","","processed_pseudogene","Human","8",46.671839
5500,"ENSG00000228984","ENSG00000228984","","processed_pseudogene","Human","8",46.7848
5501,"ENSG00000250857","ENSG00000250857","TRIM60P15","processed_pseudogene","Human","8",46.792065
5502,"ENSG00000254118","ENSG00000254118","MTCYBP20","processed_pseudogene","Human","8",46.837578
5503,"ENSG00000253803","ENSG00000253803","","processed_pseudogene","Human","8",46.870902
5504,"ENSG00000215179","ENSG00000215179","MAPK6P4","processed_pseudogene","Human","8",46.972476
5505,"ENSG00000188873","ENSG00000188873","RPL10AP2","processed_pseudogene","Human","8",47.157118
5506,"ENSG00000254348","ENSG00000254348","","processed_pseudogene","Human","8",47.189305
5507,"ENSG00000253502","ENSG00000253502","ATP6V1G1P2","processed_pseudogene","Human","8",47.194002
5508,"ENSG00000253817","ENSG00000253817","","processed_pseudogene","Human","8",47.198032
5509,"ENSG00000253330","ENSG00000253330","","processed_pseudogene","Human","8",47.511034
5510,"ENSG00000254065","ENSG00000254065","","processed_pseudogene","Human","8",47.592147
5511,"ENSG00000253843","ENSG00000253843","","processed_pseudogene","Human","8",48.19385
5512,"ENSG00000253654","ENSG00000253654","","processed_pseudogene","Human","8",48.294026
5513,"ENSG00000224594","ENSG00000224594","RPL29P19","processed_pseudogene","Human","8",48.38459
5514,"ENSG00000233109","ENSG00000233109","","processed_pseudogene","Human","8",48.913916
5515,"ENSG00000254268","ENSG00000254268","RFPL4AP7","processed_pseudogene","Human","8",49.35263
5516,"ENSG00000253810","ENSG00000253810","PSAT1P1","processed_pseudogene","Human","8",49.740216
5517,"ENSG00000254392","ENSG00000254392","","processed_pseudogene","Human","8",50.490795
5518,"ENSG00000254358","ENSG00000254358","CYCSP22","processed_pseudogene","Human","8",50.76246
5519,"ENSG00000253340","ENSG00000253340","","processed_pseudogene","Human","8",50.85953
5520,"ENSG00000254025","ENSG00000254025","BRIX1P1","processed_pseudogene","Human","8",51.435602
5521,"ENSG00000254225","ENSG00000254225","BTF3P1","processed_pseudogene","Human","8",51.72167
5522,"ENSG00000240534","ENSG00000240534","RPL34P17","processed_pseudogene","Human","8",52.313154
5523,"ENSG00000248911","ENSG00000248911","","processed_pseudogene","Human","8",52.975111
5524,"ENSG00000250494","ENSG00000250494","","processed_pseudogene","Human","8",53.162339
5525,"ENSG00000274295","ENSG00000274295","","processed_pseudogene","Human","8",53.394215
5526,"ENSG00000240919","ENSG00000240919","","processed_pseudogene","Human","8",53.532908
5527,"ENSG00000206144","ENSG00000206144","MAPK6P1","processed_pseudogene","Human","8",53.53706
5528,"ENSG00000253668","ENSG00000253668","","processed_pseudogene","Human","8",53.712697
5529,"ENSG00000244159","ENSG00000244159","RPS27AP13","processed_pseudogene","Human","8",53.887008
5530,"ENSG00000253667","ENSG00000253667","","processed_pseudogene","Human","8",53.971231
5531,"ENSG00000254274","ENSG00000254274","TDGF1P5","processed_pseudogene","Human","8",54.073114
5532,"ENSG00000270980","ENSG00000270980","","processed_pseudogene","Human","8",54.191582
5533,"ENSG00000253840","ENSG00000253840","","processed_pseudogene","Human","8",54.247633
5534,"ENSG00000276605","ENSG00000276605","","processed_pseudogene","Human","8",54.354168
5535,"ENSG00000270275","ENSG00000270275","TRMT112P7","processed_pseudogene","Human","8",54.479597
5536,"ENSG00000226098","ENSG00000226098","SEC11B","processed_pseudogene","Human","8",54.522799
5537,"ENSG00000253114","ENSG00000253114","","processed_pseudogene","Human","8",54.696398
5538,"ENSG00000248522","ENSG00000248522","SBF1P1","processed_pseudogene","Human","8",55.449509
5539,"ENSG00000236814","ENSG00000236814","","processed_pseudogene","Human","8",56.050038
5540,"ENSG00000248578","ENSG00000248578","NPM1P21","processed_pseudogene","Human","8",56.101199
5541,"ENSG00000254216","ENSG00000254216","","processed_pseudogene","Human","8",56.25296
5542,"ENSG00000253541","ENSG00000253541","SEPT10P1","processed_pseudogene","Human","8",56.476826
5543,"ENSG00000270328","ENSG00000270328","","processed_pseudogene","Human","8",56.776283
5544,"ENSG00000251142","ENSG00000251142","","processed_pseudogene","Human","8",57.240057
5545,"ENSG00000243050","ENSG00000243050","RPL30P10","processed_pseudogene","Human","8",57.392546
5546,"ENSG00000242595","ENSG00000242595","RPL26P26","processed_pseudogene","Human","8",58.113189
5547,"ENSG00000250031","ENSG00000250031","","processed_pseudogene","Human","8",58.424588
5548,"ENSG00000254103","ENSG00000254103","PPIAP85","processed_pseudogene","Human","8",58.503588
5549,"ENSG00000242970","ENSG00000242970","","processed_pseudogene","Human","8",58.58842
5550,"ENSG00000254150","ENSG00000254150","","processed_pseudogene","Human","8",59.557528
5551,"ENSG00000253413","ENSG00000253413","","processed_pseudogene","Human","8",59.760047
5552,"ENSG00000253723","ENSG00000253723","","processed_pseudogene","Human","8",59.821124
5553,"ENSG00000254954","ENSG00000254954","SLC2A13P1","processed_pseudogene","Human","8",60.141821
5554,"ENSG00000226301","ENSG00000226301","PDCL3P1","processed_pseudogene","Human","8",60.387262
5555,"ENSG00000271377","ENSG00000271377","","processed_pseudogene","Human","8",60.906059
5556,"ENSG00000255397","ENSG00000255397","","processed_pseudogene","Human","8",60.937705
5557,"ENSG00000213881","ENSG00000213881","NPM1P6","processed_pseudogene","Human","8",61.20235
5558,"ENSG00000254285","ENSG00000254285","KRT8P3","processed_pseudogene","Human","8",61.57822
5559,"ENSG00000253544","ENSG00000253544","C1GALT1P3","processed_pseudogene","Human","8",61.909984
5560,"ENSG00000237810","ENSG00000237810","","processed_pseudogene","Human","8",62.143311
5561,"ENSG00000253975","ENSG00000253975","","processed_pseudogene","Human","8",62.482198
5562,"ENSG00000253517","ENSG00000253517","XRCC6P4","processed_pseudogene","Human","8",62.855068
5563,"ENSG00000253431","ENSG00000253431","SRPK2P","processed_pseudogene","Human","8",62.863082
5564,"ENSG00000215096","ENSG00000215096","IFITM8P","processed_pseudogene","Human","8",63.409064
5565,"ENSG00000253231","ENSG00000253231","COX6CP8","processed_pseudogene","Human","8",64.331927
5566,"ENSG00000253750","ENSG00000253750","","processed_pseudogene","Human","8",64.554236
5567,"ENSG00000253800","ENSG00000253800","","processed_pseudogene","Human","8",64.570913
5568,"ENSG00000253493","ENSG00000253493","","processed_pseudogene","Human","8",64.973488
5569,"ENSG00000239261","ENSG00000239261","RPL31P41","processed_pseudogene","Human","8",65.155407
5570,"ENSG00000213873","ENSG00000213873","PPIAP86","processed_pseudogene","Human","8",65.377592
5571,"ENSG00000253623","ENSG00000253623","","processed_pseudogene","Human","8",66.480648
5572,"ENSG00000213005","ENSG00000213005","PTTG3P","processed_pseudogene","Human","8",66.7674
5573,"ENSG00000253223","ENSG00000253223","","processed_pseudogene","Human","8",66.984135
5574,"ENSG00000241961","ENSG00000241961","","processed_pseudogene","Human","8",67.406515
5575,"ENSG00000254253","ENSG00000254253","NACAP10","processed_pseudogene","Human","8",67.569416
5576,"ENSG00000255531","ENSG00000255531","NDUFS5P6","processed_pseudogene","Human","8",67.849044
5577,"ENSG00000254051","ENSG00000254051","","processed_pseudogene","Human","8",68.176768
5578,"ENSG00000253964","ENSG00000253964","RPL31P40","processed_pseudogene","Human","8",68.293446
5579,"ENSG00000236191","ENSG00000236191","RPS15AP25","processed_pseudogene","Human","8",68.525517
5580,"ENSG00000254332","ENSG00000254332","","processed_pseudogene","Human","8",69.129598
5581,"ENSG00000253216","ENSG00000253216","","processed_pseudogene","Human","8",69.446057
5582,"ENSG00000271113","ENSG00000271113","","processed_pseudogene","Human","8",69.794062
5583,"ENSG00000255107","ENSG00000255107","","processed_pseudogene","Human","8",69.859264
5584,"ENSG00000247570","ENSG00000247570","SDCBPP2","processed_pseudogene","Human","8",69.942948
